Номер подзаписи;№ бюллетеня;Вопрос;Голос;ФИО члена НК;Номер пункта/подпункта;Тип вопроса;Неголосующий;Дата
25;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Молодцов Кирилл Валентинович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-08 00:00:00
26;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Радинский Константин Олегович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-09 00:00:00
27;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Салыгин Валерий Иванович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-10 00:00:00
28;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Рогалёв Николай Дмитриевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-11 00:00:00
29;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Нургалиев Данис Карлович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-12 00:00:00
30;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Сидоров Александр Леонидович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-13 00:00:00
31;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Посягин Борис Сергеевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-14 00:00:00
32;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Замрий Анатолий Владимирович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-15 00:00:00
1;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;З;Шафраник Юрий Константинович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-16 00:00:00
2;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;З;Шмаль Генадий Иосифович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-17 00:00:00
3;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Иванов Виктор Петрович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-18 00:00:00
4;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Яруллин Рафинат Саматович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-19 00:00:00
5;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Максимов Антон Львович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-20 00:00:00
6;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;НГ;Кантюков Рафкат Абдулхаевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-21 00:00:00
7;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Забозлаев Алексей Геннадьевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-22 00:00:00
8;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Бакиев Эдуард Мунирович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-23 00:00:00
9;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Мамин Виктор Викторович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-24 00:00:00
10;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Шамин Андрей Юрьевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-25 00:00:00
11;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Слепнёв Николай Сергеевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-26 00:00:00
12;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Федоров Юрий Викторович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-27 00:00:00
13;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Богуславский Ирек Борисович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-28 00:00:00
14;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;НГ;Метшин Айдар Раисович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;2024-05-29 00:00:00
15;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;НГ;Сорокин Павел Юрьевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;2024-05-29 00:00:00
16;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Иванов Михаил Игоревич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-30 00:00:00
17;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Дмитриевский Анатолий Николаевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-06-01 00:00:00
24;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Важенин Юрий Иванович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
25;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Молодцов Кирилл Валентинович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
26;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Радинский Константин Олегович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
27;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Салыгин Валерий Иванович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
28;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Рогалёв Николай Дмитриевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
29;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Нургалиев Данис Карлович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
30;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Сидоров Александр Леонидович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
31;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Посягин Борис Сергеевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
32;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Замрий Анатолий Владимирович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
1;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;-;Шафраник Юрий Константинович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
2;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;-;Шмаль Генадий Иосифович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
3;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Иванов Виктор Петрович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
4;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Яруллин Рафинат Саматович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
5;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Максимов Антон Львович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
11;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Слепнёв Николай Сергеевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
12;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Федоров Юрий Викторович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
13;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Богуславский Ирек Борисович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
14;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;НГ;Метшин Айдар Раисович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;True;
15;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;НГ;Сорокин Павел Юрьевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;True;
16;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Иванов Михаил Игоревич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
17;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Дмитриевский Анатолий Николаевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
18;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Сигов Александр Сергеевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
19;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Крюков Валерий Анатольевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
20;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Курочкин Дмитрий Николаевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
21;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Агеев Шамиль Рахимович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
22;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Корчагин Александр Викторович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
23;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;НГ;Ковальчук Владимир Николаевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;True;
6;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;НГ;Кантюков Рафкат Абдулхаевич;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
7;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Забозлаев Алексей Геннадьевич;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
8;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Бакиев Эдуард Мунирович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
9;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;-;Мамин Виктор Викторович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
10;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;-;Шамин Андрей Юрьевич;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
11;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Слепнёв Николай Сергеевич;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
12;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;-;Федоров Юрий Викторович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
13;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;-;Богуславский Ирек Борисович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
14;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;НГ;Метшин Айдар Раисович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;True;
15;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;НГ;Сорокин Павел Юрьевич;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;True;
32;16;Наградить медалью Грайфера II степени «СургутНИПИнефть» ПАО «Сургутнефтегаз»;З;Замрий Анатолий Владимирович;6.300000190734863;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
1;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Шафраник Юрий Константинович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
2;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Шмаль Генадий Иосифович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
3;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Иванов Виктор Петрович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
4;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Яруллин Рафинат Саматович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
5;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Максимов Антон Львович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
6;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;НГ;Кантюков Рафкат Абдулхаевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
7;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Забозлаев Алексей Геннадьевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
8;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Бакиев Эдуард Мунирович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
1;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Шафраник Юрий Константинович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
1;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Шафраник Юрий Константинович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
9;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Мамин Виктор Викторович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
10;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Шамин Андрей Юрьевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
11;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Слепнёв Николай Сергеевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
12;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Федоров Юрий Викторович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
13;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Богуславский Ирек Борисович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
14;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;НГ;Метшин Айдар Раисович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
15;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;НГ;Сорокин Павел Юрьевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
16;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Иванов Михаил Игоревич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
17;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Дмитриевский Анатолий Николаевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
18;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Сигов Александр Сергеевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
19;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Крюков Валерий Анатольевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
20;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Курочкин Дмитрий Николаевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
21;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Агеев Шамиль Рахимович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
22;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Корчагин Александр Викторович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
23;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;НГ;Ковальчук Владимир Николаевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
24;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Важенин Юрий Иванович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
25;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Молодцов Кирилл Валентинович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
26;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Радинский Константин Олегович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
27;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Салыгин Валерий Иванович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
28;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Рогалёв Николай Дмитриевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
29;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Нургалиев Данис Карлович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
30;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Сидоров Александр Леонидович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
31;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;-;Посягин Борис Сергеевич;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
32;16;Наградить медалью Грайфера II степени ФГБОУ «Югорский государственный университет»;З;Замрий Анатолий Владимирович;6.400000095367432;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
17;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Дмитриевский Анатолий Николаевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
18;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Сигов Александр Сергеевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
19;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Крюков Валерий Анатольевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
20;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Курочкин Дмитрий Николаевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
21;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Агеев Шамиль Рахимович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
22;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Корчагин Александр Викторович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
23;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;НГ;Ковальчук Владимир Николаевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
24;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Важенин Юрий Иванович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
25;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Молодцов Кирилл Валентинович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
26;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Радинский Константин Олегович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
27;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Салыгин Валерий Иванович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
28;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Рогалёв Николай Дмитриевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
29;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Нургалиев Данис Карлович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
30;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Сидоров Александр Леонидович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
31;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Посягин Борис Сергеевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
16;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;-;Иванов Михаил Игоревич;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
17;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Дмитриевский Анатолий Николаевич;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
18;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Сигов Александр Сергеевич;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
